,time[ms],time_0,csv_load_0,time_1,csv_load_1
2634,6600,6600,0.4897959183673469,6200.0,0.75
2635,6700,6700,0.6794871794871795,6300.0,0.8333333333333334
2636,6800,6800,0.6585365853658537,6400.0,0.7777777777777778
2637,6900,6900,0.6573033707865169,6500.0,0.8
2638,7000,7000,0.6476190476190476,6600.0,0.7777777777777778
2639,7100,7100,0.6287878787878788,6700.0,
2640,7200,7200,0.6606060606060606,6800.0,
2641,7300,7300,0.5973154362416108,6900.0,0.8285714285714286
2642,7400,7400,0.6458333333333334,7000.0,
2643,7500,7500,0.6095890410958904,7100.0,
2644,7600,7600,0.4390243902439024,7200.0,0.75
2645,7700,7700,0.6708860759493671,7300.0,0.8181818181818182
2646,7800,7800,0.7037037037037037,7400.0,
2647,7900,7900,0.5947712418300654,7500.0,
2648,8000,8000,0.6551724137931034,7600.0,0.7142857142857143
2649,0,0,,7700.0,
2650,100,100,0.9411764705882352,7800.0,
2651,200,200,0.9528795811518324,7900.0,0.8333333333333334
2652,300,300,0.9395973154362416,8000.0,0.8333333333333334
2653,400,400,0.8088235294117647,0.0,
2654,500,500,0.8395061728395061,100.0,1.0
2655,600,600,0.949685534591195,200.0,0.9444444444444444
2656,700,700,0.8451612903225807,300.0,
2657,800,800,0.9204545454545454,400.0,
2658,900,900,0.981132075471698,500.0,
2659,1000,1000,0.9117647058823528,600.0,
2660,1100,1100,0.9285714285714286,700.0,
2661,1200,1200,0.9722222222222222,800.0,
2662,1300,1300,,900.0,0.8571428571428571
2663,1400,1400,,1000.0,
2664,1500,1500,,1100.0,
2665,1600,1600,,1200.0,
2666,1700,1700,,1300.0,
2667,1800,1800,0.9884393063583816,1400.0,0.9
2668,1900,1900,,1500.0,0.6923076923076923
2669,2000,2000,,1600.0,0.9
2670,2100,2100,,1700.0,0.9166666666666666
2671,2200,2200,,1800.0,0.8333333333333334
2672,2300,2300,0.9767441860465116,1900.0,
2673,2400,2400,,2000.0,
2674,2500,2500,,2100.0,0.8333333333333334
2675,2600,2600,0.984375,2200.0,
2676,2700,2700,0.9857142857142858,2300.0,
2677,2800,2800,0.9836065573770492,2400.0,0.6111111111111112
2678,2900,2900,0.7272727272727273,2500.0,0.8
2679,3000,3000,0.8,2600.0,0.9166666666666666
2680,3100,3100,0.7278106508875741,2700.0,
2681,3200,3200,0.5704225352112676,2800.0,
2682,3300,3300,0.5769230769230769,2900.0,0.7692307692307693
2683,3400,3400,0.5894736842105263,3000.0,0.8666666666666667
2684,3500,3500,0.6965174129353234,3100.0,0.9
2685,3600,3600,0.6993006993006993,3200.0,
2686,3700,3700,0.6226415094339622,3300.0,
2687,3800,3800,0.6071428571428571,3400.0,
2688,3900,3900,0.5808080808080808,3500.0,
2689,4000,4000,0.6392405063291139,3600.0,0.8181818181818182
2690,4100,4100,0.6381578947368421,3700.0,0.8
2691,4200,4200,0.5979381443298969,3800.0,0.8461538461538461
2692,4300,4300,0.5677966101694916,3900.0,0.8181818181818182
2693,4400,4400,0.6354166666666666,4000.0,0.8181818181818182
2694,4500,4500,0.7313432835820896,4100.0,0.8181818181818182
2695,4600,4600,0.625,4200.0,0.6666666666666666
2696,4700,4700,0.6298701298701299,4300.0,0.7272727272727273
2697,4800,4800,0.6556291390728477,4400.0,0.8181818181818182
2698,4900,4900,0.6313131313131313,4500.0,0.7777777777777778
